DateTime,Upload,Download,Server
22-12-2019 17:00:04,5794539,86994074,Darmstadt
22-12-2019 18:00:04,5782552,89300281,Darmstadt
22-12-2019 19:00:04,5701101,87525305,Darmstadt
22-12-2019 20:00:05,5750547,89755617,Darmstadt
22-12-2019 21:00:04,5738806,87092431,Darmstadt
22-12-2019 22:00:05,5745162,87029918,Darmstadt
22-12-2019 23:00:04,5747378,86925155,Darmstadt
23-12-2019 00:00:05,5816825,82007109,Darmstadt
23-12-2019 01:00:05,5717670,83529248,Darmstadt
23-12-2019 02:00:05,5805184,84741259,Darmstadt
23-12-2019 03:00:04,5828073,81325220,Darmstadt
23-12-2019 04:00:04,5812974,82698969,Darmstadt
23-12-2019 05:00:04,5802455,91273833,Frankfurt
23-12-2019 06:00:05,4766545,84003781,Darmstadt
23-12-2019 07:00:04,5744798,71718776,Frankfurt
23-12-2019 08:00:04,5650674,89806175,Darmstadt
23-12-2019 09:00:04,5608515,85194845,Frankfurt
23-12-2019 10:00:04,5763778,83488700,Darmstadt
23-12-2019 11:00:05,5773239,90093366,Frankfurt
23-12-2019 12:00:05,5748163,85239224,Darmstadt
23-12-2019 13:00:05,5784243,86876889,Darmstadt
23-12-2019 14:00:04,5805756,88872636,Frankfurt
23-12-2019 15:00:05,5472873,86293291,Darmstadt
23-12-2019 16:00:04,5621715,85854959,Darmstadt
23-12-2019 17:00:04,5804770,84157240,Darmstadt
23-12-2019 18:00:04,5785536,84795404,Darmstadt
23-12-2019 19:00:04,5691303,87096544,Darmstadt
23-12-2019 20:00:04,5724572,81495882,Darmstadt
23-12-2019 21:00:04,5660144,83208452,Darmstadt
23-12-2019 22:00:04,5676009,79157830,Darmstadt
23-12-2019 23:00:04,5819787,83458943,Darmstadt
24-12-2019 00:00:04,5799810,84334813,Darmstadt
24-12-2019 01:00:04,5805994,86225457,Darmstadt
24-12-2019 02:00:04,5767471,85282242,Darmstadt
24-12-2019 03:00:04,5785730,85088404,Darmstadt
24-12-2019 04:00:05,5837182,83379179,Darmstadt
24-12-2019 05:00:04,5836333,80553823,Darmstadt
24-12-2019 06:00:04,5781182,85359187,Darmstadt
24-12-2019 07:00:04,5782281,83016522,Darmstadt
24-12-2019 08:00:04,5790139,84816361,Darmstadt
24-12-2019 09:00:04,5747910,84571398,Darmstadt
24-12-2019 10:00:04,5815219,84433606,Darmstadt
24-12-2019 11:00:04,5732558,81263411,Darmstadt
